"Year","City","Diagnostic_Group","Total_Cases"
2016,"Barranquilla","F70",364
2016,"Barranquilla","F80",2155
2016,"Barranquilla","F81",725
2016,"Barranquilla","F82",45
2016,"Barranquilla","F83",4
2016,"Barranquilla","F84",924
2016,"Barranquilla","F89",35
2016,"Barranquilla","F90",1645
2016,"Bogota, D.C.","F70",3074
2016,"Bogota, D.C.","F80",21037
2016,"Bogota, D.C.","F81",9171
2016,"Bogota, D.C.","F82",1082
2016,"Bogota, D.C.","F83",84
2016,"Bogota, D.C.","F84",5629
2016,"Bogota, D.C.","F89",137
2016,"Bogota, D.C.","F90",7911
2016,"Cali","F70",703
2016,"Cali","F80",3380
2016,"Cali","F81",1505
2016,"Cali","F82",100
2016,"Cali","F83",24
2016,"Cali","F84",722
2016,"Cali","F89",19
2016,"Cali","F90",1203
2016,"Medellin","F70",865
2016,"Medellin","F80",2945
2016,"Medellin","F81",812
2016,"Medellin","F82",36
2016,"Medellin","F83",6
2016,"Medellin","F84",1085
2016,"Medellin","F89",38
2016,"Medellin","F90",4281
2017,"Barranquilla","F70",456
2017,"Barranquilla","F80",2809
2017,"Barranquilla","F81",1063
2017,"Barranquilla","F82",64
2017,"Barranquilla","F83",4
2017,"Barranquilla","F84",949
2017,"Barranquilla","F89",79
2017,"Barranquilla","F90",2357
2017,"Bogota, D.C.","F70",3810
2017,"Bogota, D.C.","F80",20846
2017,"Bogota, D.C.","F81",9688
2017,"Bogota, D.C.","F82",829
2017,"Bogota, D.C.","F83",54
2017,"Bogota, D.C.","F84",6571
2017,"Bogota, D.C.","F89",92
2017,"Bogota, D.C.","F90",11332
2017,"Cali","F70",789
2017,"Cali","F80",3557
2017,"Cali","F81",1768
2017,"Cali","F82",91
2017,"Cali","F83",17
2017,"Cali","F84",969
2017,"Cali","F89",20
2017,"Cali","F90",1942
2017,"Medellin","F70",809
2017,"Medellin","F80",3870
2017,"Medellin","F81",1222
2017,"Medellin","F82",33
2017,"Medellin","F83",8
2017,"Medellin","F84",1079
2017,"Medellin","F89",66
2017,"Medellin","F90",5567
2018,"Barranquilla","F70",586
2018,"Barranquilla","F80",3595
2018,"Barranquilla","F81",1493
2018,"Barranquilla","F82",60
2018,"Barranquilla","F83",4
2018,"Barranquilla","F84",1328
2018,"Barranquilla","F89",39
2018,"Barranquilla","F90",3418
2018,"Bogota, D.C.","F70",3382
2018,"Bogota, D.C.","F80",22893
2018,"Bogota, D.C.","F81",11678
2018,"Bogota, D.C.","F82",877
2018,"Bogota, D.C.","F83",90
2018,"Bogota, D.C.","F84",2884
2018,"Bogota, D.C.","F89",73
2018,"Bogota, D.C.","F90",10069
2018,"Cali","F70",606
2018,"Cali","F80",3898
2018,"Cali","F81",1805
2018,"Cali","F82",68
2018,"Cali","F83",14
2018,"Cali","F84",860
2018,"Cali","F89",24
2018,"Cali","F90",1856
2018,"Medellin","F70",970
2018,"Medellin","F80",4578
2018,"Medellin","F81",1317
2018,"Medellin","F82",32
2018,"Medellin","F83",12
2018,"Medellin","F84",882
2018,"Medellin","F89",58
2018,"Medellin","F90",5732
2019,"Barranquilla","F70",1251
2019,"Barranquilla","F80",6020
2019,"Barranquilla","F81",2840
2019,"Barranquilla","F82",100
2019,"Barranquilla","F83",4
2019,"Barranquilla","F84",3490
2019,"Barranquilla","F89",185
2019,"Barranquilla","F90",7360
2019,"Bogota, D.C.","F70",4838
2019,"Bogota, D.C.","F80",30634
2019,"Bogota, D.C.","F81",18768
2019,"Bogota, D.C.","F82",895
2019,"Bogota, D.C.","F83",132
2019,"Bogota, D.C.","F84",4850
2019,"Bogota, D.C.","F89",160
2019,"Bogota, D.C.","F90",13004
2019,"Cali","F70",946
2019,"Cali","F80",5423
2019,"Cali","F81",2655
2019,"Cali","F82",96
2019,"Cali","F83",14
2019,"Cali","F84",1228
2019,"Cali","F89",41
2019,"Cali","F90",2477
2019,"Medellin","F70",1245
2019,"Medellin","F80",5412
2019,"Medellin","F81",1525
2019,"Medellin","F82",37
2019,"Medellin","F83",8
2019,"Medellin","F84",1324
2019,"Medellin","F89",73
2019,"Medellin","F90",7146
2020,"Barranquilla","F70",782
2020,"Barranquilla","F80",3818
2020,"Barranquilla","F81",1102
2020,"Barranquilla","F82",86
2020,"Barranquilla","F83",3
2020,"Barranquilla","F84",2391
2020,"Barranquilla","F89",56
2020,"Barranquilla","F90",4212
2020,"Bogota, D.C.","F70",2513
2020,"Bogota, D.C.","F80",17374
2020,"Bogota, D.C.","F81",8067
2020,"Bogota, D.C.","F82",520
2020,"Bogota, D.C.","F83",62
2020,"Bogota, D.C.","F84",3607
2020,"Bogota, D.C.","F89",82
2020,"Bogota, D.C.","F90",6441
2020,"Cali","F70",551
2020,"Cali","F80",3373
2020,"Cali","F81",1208
2020,"Cali","F82",65
2020,"Cali","F83",7
2020,"Cali","F84",929
2020,"Cali","F89",16
2020,"Cali","F90",1373
2020,"Medellin","F70",553
2020,"Medellin","F80",2612
2020,"Medellin","F81",530
2020,"Medellin","F82",31
2020,"Medellin","F83",6
2020,"Medellin","F84",866
2020,"Medellin","F89",13
2020,"Medellin","F90",3533
2021,"Barranquilla","F70",788
2021,"Barranquilla","F80",6519
2021,"Barranquilla","F81",1320
2021,"Barranquilla","F82",100
2021,"Barranquilla","F83",1
2021,"Barranquilla","F84",3392
2021,"Barranquilla","F89",69
2021,"Barranquilla","F90",4203
2021,"Bogota, D.C.","F70",2584
2021,"Bogota, D.C.","F80",25721
2021,"Bogota, D.C.","F81",7934
2021,"Bogota, D.C.","F82",432
2021,"Bogota, D.C.","F83",35
2021,"Bogota, D.C.","F84",4989
2021,"Bogota, D.C.","F89",91
2021,"Bogota, D.C.","F90",6294
2021,"Cali","F70",656
2021,"Cali","F80",4923
2021,"Cali","F81",1220
2021,"Cali","F82",53
2021,"Cali","F83",12
2021,"Cali","F84",1574
2021,"Cali","F89",26
2021,"Cali","F90",1627
2021,"Medellin","F70",562
2021,"Medellin","F80",4778
2021,"Medellin","F81",782
2021,"Medellin","F82",35
2021,"Medellin","F83",3
2021,"Medellin","F84",1515
2021,"Medellin","F89",13
2021,"Medellin","F90",3609
